direction,machine,model,message,source,note
display->mainboard,00 00 03 02,EP2200 / EP2220/10,D5 55 00 00 00 03 02 00 00 00 2D 01,upstream issue #10,
display->mainboard,01 00 00 02,unknown,D5 55 00 01 00 00 02 00 00 00 01 14,upstream issue #19,
display->mainboard,01 00 00 02,unknown,D5 55 01 01 00 00 02 00 00 00 35 05,upstream issue #19,
display->mainboard,01 02 00 02,EP2220 / EP2235,D5 55 00 01 02 00 02 00 00 00 11 36,upstream protocol.md,
display->mainboard,01 02 00 02,EP2220 / EP2235,D5 55 00 01 02 00 02 00 00 01 19 32,upstream protocol.md,
display->mainboard,01 02 00 02,EP2220 / EP2235,D5 55 00 01 02 00 02 00 02 00 09 2F,upstream protocol.md,
display->mainboard,01 02 00 02,EP2220 / EP2235,D5 55 00 01 02 00 02 00 04 00 20 05,upstream protocol.md,
display->mainboard,01 02 00 02,EP2220 / EP2235,D5 55 00 01 02 00 02 00 10 00 0D 36,upstream protocol.md,
display->mainboard,01 02 00 02,EP2220 / EP2235,D5 55 00 01 02 00 02 00 20 00 28 37,upstream protocol.md,
display->mainboard,01 02 00 02,EP2220 / EP2235,D5 55 00 01 02 00 02 01 00 00 1D 3B,upstream protocol.md,
display->mainboard,01 02 00 02,EP2220 / EP2235,D5 55 00 01 02 00 02 02 00 00 09 2D,upstream protocol.md,
display->mainboard,01 02 00 02,EP2220 / EP2235,D5 55 00 01 02 00 02 04 00 00 21 01,upstream protocol.md,
display->mainboard,01 02 00 02,EP2220 / EP2235,D5 55 00 01 02 00 02 08 00 00 39 1C,upstream protocol.md,
display->mainboard,01 02 00 02,EP2220 / EP2235,D5 55 00 01 02 00 02 10 00 00 09 26,upstream protocol.md,
display->mainboard,01 02 00 02,EP2220 / EP2235,D5 55 01 01 02 00 02 00 00 00 25 27,upstream protocol.md,
display->mainboard,01 02 00 02,EP2220 / EP2235,D5 55 02 01 02 00 02 00 00 00 38 15,upstream protocol.md,
display->mainboard,01 02 00 02,EP2220 / EP2235,D5 55 0A 01 02 00 02 00 00 00 0E 12,upstream protocol.md,
display->mainboard,01 02 00 03,EP2231,D5 55 00 01 02 00 03 00 00 00 3C 2B,"this fork, captured",
display->mainboard,01 02 00 03,EP2231,D5 55 00 01 02 00 03 00 02 00 24 32,"this fork, captured",
display->mainboard,01 02 00 03,EP2231,D5 55 00 01 02 00 03 00 04 00 0D 18,"this fork, captured",
display->mainboard,01 02 00 03,EP2231,D5 55 00 01 02 00 03 01 00 00 30 26,"this fork, captured",
display->mainboard,01 02 00 03,EP2231,D5 55 00 01 02 00 03 02 00 00 24 30,"this fork, captured",
display->mainboard,01 02 00 03,EP2231,D5 55 00 01 02 00 03 04 00 00 0C 1C,"this fork, captured",
display->mainboard,01 02 00 03,EP2231,D5 55 00 01 02 00 03 08 00 00 14 01,"this fork, captured",
display->mainboard,01 02 00 03,EP2231,D5 55 00 01 02 00 03 10 00 00 24 3B,"this fork, captured",
display->mainboard,01 02 00 03,EP2231,D5 55 01 01 02 00 03 00 00 00 08 3A,"this fork, captured",
display->mainboard,01 02 00 03,EP2231,D5 55 0A 01 02 00 03 00 00 00 23 0F,"this fork, captured",
display->mainboard,01 03 00 0D,EP2230,D5 55 00 01 03 00 0D 00 00 00 02 12,upstream issue #74,
display->mainboard,01 03 00 0E,EP3243 / EP3246,D5 55 00 01 03 00 0E 00 00 01 3D 30,upstream commands.h,
display->mainboard,01 03 00 0E,EP3243 / EP3246,D5 55 00 01 03 00 0E 00 01 00 39 38,upstream commands.h,
display->mainboard,01 03 00 0E,EP3243 / EP3246,D5 55 00 01 03 00 0E 00 02 00 2D 2D,upstream commands.h,
display->mainboard,01 03 00 0E,EP3243 / EP3246,D5 55 00 01 03 00 0E 00 04 00 04 07,upstream commands.h,
display->mainboard,01 03 00 0E,EP3243 / EP3246,D5 55 00 01 03 00 0E 00 08 00 1F 16,upstream commands.h,
display->mainboard,01 03 00 0E,EP3243 / EP3246,D5 55 00 01 03 00 0E 00 10 00 29 34,upstream commands.h,
